eps,size,balance,noise,cost,timespan,base_cost,base_timespan,better
1.5,40,0.5,0.6,330.43,27.57,310.5,25.76,False
1.5,40,0.9,0.0,156.74,13.031,230.0,19.0,True
1.5,40,0.9,0.15,190.5,15.584,238.36,19.5,True
1.5,40,0.9,0.3,218.79,17.838,247.51,20.018,True
1.5,40,0.9,0.45,251.36,19.736,257.14,20.59,True
1.5,40,0.9,0.6,285.43,23.268,264.5,21.279,False
1.5,60,0.1,0.0,274.64,21.774,370.0,30.0,True
1.5,60,0.1,0.15,309.4,25.152,383.22,30.965,True
1.5,60,0.1,0.3,358.05,28.708,399.54,31.909,True
1.5,60,0.1,0.45,408.09,32.832,410.77,32.649,True
1.5,60,0.1,0.6,465.89,36.297,425.51,33.601,False
1.5,60,0.5,0.0,235.67,18.556,330.0,26.0,True
1.5,60,0.5,0.15,286.98,22.364,340.93,26.866,True
1.5,60,0.5,0.3,319.44,25.042,356.36,27.616,True
1.5,60,0.5,0.45,356.57,27.561,367.73,28.323,True
1.5,60,0.5,0.6,412.22,31.71,379.5,29.119,False
1.5,60,0.9,0.0,212.31,16.039,290.0,22.0,True
1.5,60,0.9,0.15,247.88,18.996,299.25,22.673,True
1.5,60,0.9,0.3,283.42,21.129,310.34,23.258,True
1.5,60,0.9,0.45,314.79,23.143,323.89,24.04,True
1.5,60,0.9,0.6,353.02,26.196,333.5,24.641,False
1.5,80,0.1,0.0,322.9,24.449,430.0,33.0,True
1.5,80,0.1,0.15,369.89,28.245,444.27,34.022,True
1.5,80,0.1,0.3,416.96,31.854,460.44,35.013,True
1.5,80,0.1,0.45,475.65,35.805,477.82,36.098,True
1.5,80,0.1,0.6,530.33,39.723,494.5,36.959,False
1.5,80,0.5,0.0,303.71,22.878,390.0,29.0,True
1.5,80,0.5,0.15,347.15,25.359,403.15,29.852,True
1.5,80,0.5,0.3,388.37,28.432,418.04,30.755,True
1.5,80,0.5,0.45,441.32,32.35,431.3,31.664,False
1.5,80,0.5,0.6,477.16,34.487,448.5,32.48,False
1.5,80,0.9,0.0,271.69,19.376,350.0,25.0,True
1.5,80,0.9,0.15,312.87,22.231,361.27,25.839,True
1.5,80,0.9,0.3,356.46,25.24,375.74,26.638,True
1.5,80,0.9,0.45,384.99,27.564,388.9,27.285,True
1.5,80,0.9,0.6,431.99,29.877,402.5,28.0,False
1.5,100,0.1,0.0,378.66,26.572,490.0,36.0,True
1.5,100,0.1,0.15,434.86,32.054,506.71,37.213,True
1.5,100,0.1,0.3,467.82,35.013,526.89,38.288,True
1.5,100,0.1,0.45,539.01,39.184,545.58,39.439,True
1.5,100,0.1,0.6,620.49,44.651,563.5,40.32,False
1.5,100,0.5,0.0,360.25,26.083,450.0,32.0,True
1.5,100,0.5,0.15,408.95,28.968,463.84,33.02,True
1.5,100,0.5,0.3,450.11,31.553,482.53,33.959,True
1.5,100,0.5,0.45,509.93,36.088,497.59,34.954,False
1.5,100,0.5,0.6,540.36,38.248,517.5,35.84,False
1.5,100,0.9,0.0,332.54,22.561,410.0,28.0,True
1.5,100,0.9,0.15,374.57,25.619,422.54,29.01,True
1.5,100,0.9,0.3,427.37,28.475,439.43,29.925,True
1.5,100,0.9,0.45,445.74,31.199,455.07,30.667,True
1.5,100,0.9,0.6,504.4,33.4,471.5,31.361,False
3.0,20,0.1,0.0,157.84,16.209,250.0,24.0,True
3.0,20,0.1,0.15,185.62,17.808,258.33,24.583,True
3.0,20,0.1,0.3,245.23,23.499,266.65,25.36,True
3.0,20,0.1,0.45,312.78,29.177,275.24,25.967,False
3.0,20,0.1,0.6,374.45,35.392,287.5,26.88,False
3.0,20,0.5,0.0,124.74,12.993,210.0,20.0,True
3.0,20,0.5,0.15,155.76,15.241,219.56,20.53,True
3.0,20,0.5,0.3,190.81,18.096,227.39,21.209,True
3.0,20,0.5,0.45,252.31,23.16,235.15,21.744,False
3.0,20,0.5,0.6,311.78,28.708,241.5,22.4,False
3.0,20,0.9,0.0,98.5,10.135,170.0,16.0,True
3.0,20,0.9,0.15,136.61,12.584,176.72,16.332,True
3.0,20,0.9,0.3,157.47,14.36,182.97,16.685,True
3.0,20,0.9,0.45,208.45,18.927,191.55,17.277,False
3.0,20,0.9,0.6,253.13,23.306,195.5,17.919,False
3.0,40,0.1,0.0,213.33,19.017,310.0,27.0,True
3.0,40,0.1,0.15,246.3,21.003,320.08,27.707,True
3.0,40,0.1,0.3,310.14,26.61,330.32,28.549,True
3.0,40,0.1,0.45,392.26,33.289,342.65,29.362,False
3.0,40,0.1,0.6,467.41,39.795,356.5,30.239,False
3.0,40,0.5,0.0,183.52,15.812,270.0,23.0,True
3.0,40,0.5,0.15,217.55,18.716,281.01,23.607,True
3.0,40,0.5,0.3,265.82,22.216,290.47,24.38,True
3.0,40,0.5,0.45,341.99,28.299,300.08,25.059,False
3.0,40,0.5,0.6,401.14,33.139,310.5,25.76,False
3.0,40,0.9,0.0,159.65,13.138,230.0,19.0,True
3.0,40,0.9,0.15,186.81,15.359,238.36,19.5,True
3.0,40,0.9,0.3,226.59,18.324,247.51,20.018,True
3.0,40,0.9,0.45,282.68,22.684,257.14,20.59,False
3.0,40,0.9,0.6,337.74,27.448,264.5,21.279,False
3.0,60,0.1,0.0,273.93,22.857,370.0,30.0,True
3.0,60,0.1,0.15,317.21,25.758,383.22,30.965,True
3.0,60,0.1,0.3,371.76,29.248,399.54,31.909,True
3.0,60,0.1,0.45,481.95,38.336,410.77,32.649,False
3.0,60,0.1,0.6,576.75,45.608,425.51,33.601,False
3.0,60,0.5,0.0,243.24,19.152,330.0,26.0,True
3.0,60,0.5,0.15,273.96,21.521,340.93,26.866,True
3.0,60,0.5,0.3,332.22,25.599,356.36,27.616,True
3.0,60,0.5,0.45,412.79,31.771,367.73,28.323,False
3.0,60,0.5,0.6,501.2,38.544,379.5,29.119,False
3.0,60,0.9,0.0,212.85,16.02,290.0,22.0,True
3.0,60,0.9,0.15,241.64,18.39,299.25,22.673,True
3.0,60,0.9,0.3,291.12,21.873,310.34,23.258,True
3.0,60,0.9,0.45,353.12,26.134,323.89,24.04,False
3.0,60,0.9,0.6,414.16,30.426,333.5,24.641,False
3.0,80,0.1,0.0,328.38,25.37,430.0,33.0,True
3.0,80,0.1,0.15,371.36,28.167,444.27,34.022,True
3.0,80,0.1,0.3,438.32,32.925,460.44,35.013,True
