eps,size,balance,noise,cost,timespan,better,base_cost,base_timespan
1.5,40,0.5,0.6,330.43,27.57,False,310.5,25.76
1.5,40,0.9,0.0,156.74,13.031,True,230.0,19.0
1.5,40,0.9,0.15,190.5,15.584,True,238.36,19.5
1.5,40,0.9,0.3,218.79,17.838,True,247.51,20.018
1.5,40,0.9,0.45,251.36,19.736,True,257.14,20.59
1.5,40,0.9,0.6,285.43,23.268,False,264.5,21.279
1.5,60,0.1,0.0,274.64,21.774,True,370.0,30.0
1.5,60,0.1,0.15,309.4,25.152,True,383.22,30.965
1.5,60,0.1,0.3,358.05,28.708,True,399.54,31.909
1.5,60,0.1,0.45,408.09,32.832,True,410.77,32.649
1.5,60,0.1,0.6,465.89,36.297,False,425.51,33.601
1.5,60,0.5,0.0,235.67,18.556,True,330.0,26.0
1.5,60,0.5,0.15,286.98,22.364,True,340.93,26.866
1.5,60,0.5,0.3,319.44,25.042,True,356.36,27.616
1.5,60,0.5,0.45,356.57,27.561,True,367.73,28.323
1.5,60,0.5,0.6,412.22,31.71,False,379.5,29.119
1.5,60,0.9,0.0,212.31,16.039,True,290.0,22.0
1.5,60,0.9,0.15,247.88,18.996,True,299.25,22.673
1.5,60,0.9,0.3,283.42,21.129,True,310.34,23.258
1.5,60,0.9,0.45,314.79,23.143,True,323.89,24.04
1.5,60,0.9,0.6,353.02,26.196,False,333.5,24.641
1.5,80,0.1,0.0,322.9,24.449,True,430.0,33.0
1.5,80,0.1,0.15,369.89,28.245,True,444.27,34.022
1.5,80,0.1,0.3,416.96,31.854,True,460.44,35.013
1.5,80,0.1,0.45,475.65,35.805,True,477.82,36.098
1.5,80,0.1,0.6,530.33,39.723,False,494.5,36.959
1.5,80,0.5,0.0,303.71,22.878,True,390.0,29.0
1.5,80,0.5,0.15,347.15,25.359,True,403.15,29.852
1.5,80,0.5,0.3,388.37,28.432,True,418.04,30.755
1.5,80,0.5,0.45,441.32,32.35,False,431.3,31.664
1.5,80,0.5,0.6,477.16,34.487,False,448.5,32.48
1.5,80,0.9,0.0,271.69,19.376,True,350.0,25.0
1.5,80,0.9,0.15,312.87,22.231,True,361.27,25.839
1.5,80,0.9,0.3,356.46,25.24,True,375.74,26.638
1.5,80,0.9,0.45,384.99,27.564,True,388.9,27.285
1.5,80,0.9,0.6,431.99,29.877,False,402.5,28.0
1.5,100,0.1,0.0,378.66,26.572,True,490.0,36.0
1.5,100,0.1,0.15,434.86,32.054,True,506.71,37.213
1.5,100,0.1,0.3,467.82,35.013,True,526.89,38.288
1.5,100,0.1,0.45,539.01,39.184,True,545.58,39.439
1.5,100,0.1,0.6,620.49,44.651,False,563.5,40.32
1.5,100,0.5,0.0,360.25,26.083,True,450.0,32.0
1.5,100,0.5,0.15,408.95,28.968,True,463.84,33.02
1.5,100,0.5,0.3,450.11,31.553,True,482.53,33.959
1.5,100,0.5,0.45,509.93,36.088,False,497.59,34.954
1.5,100,0.5,0.6,540.36,38.248,False,517.5,35.84
1.5,100,0.9,0.0,332.54,22.561,True,410.0,28.0
1.5,100,0.9,0.15,374.57,25.619,True,422.54,29.01
1.5,100,0.9,0.3,427.37,28.475,True,439.43,29.925
1.5,100,0.9,0.45,445.74,31.199,True,455.07,30.667
1.5,100,0.9,0.6,504.4,33.4,False,471.5,31.361
